sample,isotope,EoB,units,A0_parent,A0_err_parent,A0_vector,cov_A0,peak_data_file,plot_file
Cu08,56CO,09/23/2025 18:35:00,h,2.256952345985176,inf,[2.256952345985176],[[inf]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu08_peakData_combined.csv,
Cu08,58CO,09/23/2025 18:35:00,h,378.56638924547906,26.871623094978737,[378.56638924547906],[[722.0841277585946]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu08_peakData_combined.csv,
Cu09,62ZN,09/23/2025 18:35:00,h,682572.6766258902,16133.162708352518,"[682572.6766258902, 0.0]","[[260278938.97417638, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu09_peakData_combined.csv,
Cu09,63ZN,09/23/2025 18:35:00,h,2639652.631465469,68730.80837045652,[2639652.631465469],[[4723924019.256415]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu09_peakData_combined.csv,
Cu09,65ZN,09/23/2025 18:35:00,h,211.37353542217718,11.469451339751425,[211.37353542217718],[[131.54831403492577]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu09_peakData_combined.csv,
Cu09,56CO,09/23/2025 18:35:00,h,,,[],[],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu09_peakData_combined.csv,
Cu09,58CO,09/23/2025 18:35:00,h,17.14381485141404,1.2958978046328442,[17.14381485141404],[[1.6793511200522255]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu09_peakData_combined.csv,
Cu10,62ZN,09/23/2025 18:35:00,h,744095.5009077373,15221.46238512557,"[744095.5009077373, 0.0]","[[231692917.14179257, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu10_peakData_combined.csv,
Cu10,63ZN,09/23/2025 18:35:00,h,2735656.012481075,89177.22445749493,[2735656.012481075],[[7952577361.942431]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu10_peakData_combined.csv,
Cu10,65ZN,09/23/2025 18:35:00,h,266.8129467749812,40.55551106057712,[266.8129467749812],[[1644.7494773845929]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Cu/Cu_A0/Cu10_peakData_combined.csv,
