sample,isotope,EoB,units,A0_parent,A0_err_parent,A0_vector,cov_A0,peak_data_file,plot_file
Ni05,57CO,09/24/2025 15:43:00,h,3198.9435855698443,127.98062999740651,[3198.9435855698443],[[16379.041654533066]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni05_peakData_combined.csv,
Ni05,55CO,09/24/2025 15:43:00,h,24470.76821470332,1352.9573692328852,"[24470.76821470332, 0.0]","[[1830493.6429615696, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni05_peakData_combined.csv,
Ni06,57NI,09/24/2025 15:43:00,h,446029.9795720426,50895.560157410495,"[446029.9795720426, 0.0]","[[2590358043.7365904, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni06_peakData_combined.csv,
Ni06,56CO,09/24/2025 15:43:00,h,8482.656790409965,74.84420575022392,[8482.656790409965],[[5601.655134381851]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni06_peakData_combined.csv,
Ni06,56NI,09/24/2025 15:43:00,h,4677.815917607066,690.9945792499935,"[4677.815917607066, 0.0]","[[477473.5085528756, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni06_peakData_combined.csv,
Ni06,58CO,09/24/2025 15:43:00,h,3314.9970404960713,309.0651098734045,[3314.9970404960713],[[95521.24214105959]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni06_peakData_combined.csv,
Ni06,57CO,09/24/2025 15:43:00,h,4039.456954860329,156.78310347387603,[4039.456954860329],[[24580.941534900117]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni06_peakData_combined.csv,
Ni06,55CO,09/24/2025 15:43:00,h,17300.60611340549,1328.514903875716,"[17300.60611340549, 0.0]","[[1764951.849819903, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni06_peakData_combined.csv,
Ni07,57NI,09/24/2025 15:43:00,h,610278.8103639258,71956.93115639857,"[610278.8103639258, 0.0]","[[5177799941.446684, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni07_peakData_combined.csv,
Ni07,56CO,09/24/2025 15:43:00,h,3851.533451112283,34.830289985207955,[3851.533451112283],[[1213.1491004536774]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni07_peakData_combined.csv,
Ni07,56NI,09/24/2025 15:43:00,h,2192.918392291282,310.66853558937015,"[2192.918392291282, 0.0]","[[96514.93900524375, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni07_peakData_combined.csv,
Ni07,58CO,09/24/2025 15:43:00,h,1353.5012963490835,171.43864593835713,[1353.5012963490835],[[29391.20932117737]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni07_peakData_combined.csv,
Ni07,57CO,09/24/2025 15:43:00,h,5722.942324451458,208.60530722291753,[5722.942324451458],[[43516.17420156781]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni07_peakData_combined.csv,
Ni07,55CO,09/24/2025 15:43:00,h,16714.86703536825,1722.5966056071713,"[16714.86703536825, 0.0]","[[2967339.065649349, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni07_peakData_combined.csv,
Ni08,57NI,09/23/2025 18:35:00,h,658091.2435359678,65748.3056046415,"[658091.2435359678, 0.0]","[[4322839689.881332, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni08_peakData_combined.csv,
Ni08,56CO,09/23/2025 18:35:00,h,5330.025758252672,115.8954106347508,[5330.025758252672],[[13431.74620619751]],/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni08_peakData_combined.csv,
Ni08,56NI,09/23/2025 18:35:00,h,2899.505881877955,405.7126305541479,"[2899.505881877955, 0.0]","[[164602.7385911665, 0.0], [0.0, 0.0]]",/Users/camillatokstad/Documents/FA/Masteroppgave/Sn_px_Sb_experiment/Decay_EoB/Ni/Ni_A0/Ni08_peakData_combined.csv,
