sample,isotope,EoB,units,A0_parent,A0_err_parent,A0_vector,cov_A0,peak_data_file,plot_file
Cu10,58CO,09/23/2025 18:35:00,h,,,[],[],Cu10_IDM_peakData_combined.csv,
Cu11,62ZN,09/23/2025 18:35:00,h,501414.1336883644,6866.549764528262,"[501414.1336883644, 0.0]","[[47149505.66874313, 0.0], [0.0, 0.0]]",Cu11_IDM_peakData_combined.csv,
Cu11,63ZN,09/23/2025 18:35:00,h,6252035.376605968,152418.46815273046,[6252035.376605968],[[23231389434.02491]],Cu11_IDM_peakData_combined.csv,
Cu11,65ZN,09/23/2025 18:35:00,h,438.18551548632604,8.375977619429406,[438.18551548632604],[[70.15700108118232]],Cu11_IDM_peakData_combined.csv,
Cu11,56CO,09/23/2025 18:35:00,h,,,[],[],Cu11_IDM_peakData_combined.csv,
Cu11,58CO,09/23/2025 18:35:00,h,,,[],[],Cu11_IDM_peakData_combined.csv,
Cu12,62ZN,09/23/2025 18:35:00,h,49306.03735503596,1332.8760044301523,"[49306.03735503596, 0.0]","[[1776558.4431856875, 0.0], [0.0, 0.0]]",Cu12_IDM_peakData_combined.csv,
Cu12,63ZN,09/23/2025 18:35:00,h,24099252.020727135,1255306.1523931413,[24099252.020727135],[[1575793536236.0725]],Cu12_IDM_peakData_combined.csv,
Cu12,65ZN,09/23/2025 18:35:00,h,1838.594757698113,39.60468316385317,[1838.594757698113],[[1568.5309285091946]],Cu12_IDM_peakData_combined.csv,
Cu12,56CO,09/23/2025 18:35:00,h,4.340966900860564,6.1797937286794635,[4.340966900860564],[[38.189850529026025]],Cu12_IDM_peakData_combined.csv,
Cu12,58CO,09/23/2025 18:35:00,h,,,[],[],Cu12_IDM_peakData_combined.csv,
Cu13,62ZN,09/23/2025 18:35:00,h,,,[],[],Cu13_IDM_peakData_combined.csv,
Cu13,63ZN,09/23/2025 18:35:00,h,29887472.686550267,770597.1782392968,[29887472.686550267],[[593820011110.3666]],Cu13_IDM_peakData_combined.csv,
Cu13,65ZN,09/23/2025 18:35:00,h,3964.4760529779855,284.78983842615514,[3964.4760529779855],[[81105.25207079554]],Cu13_IDM_peakData_combined.csv,
Cu13,56CO,09/23/2025 18:35:00,h,,,[],[],Cu13_IDM_peakData_combined.csv,
Cu13,58CO,09/23/2025 18:35:00,h,,,[],[],Cu13_IDM_peakData_combined.csv,
Cu14,62ZN,09/23/2025 18:35:00,h,,,[],[],Cu14_IDM_peakData_combined.csv,
Cu14,63ZN,09/23/2025 18:35:00,h,12743734.56512506,306574.7496837668,[12743734.56512506],[[93988077143.66426]],Cu14_IDM_peakData_combined.csv,
Cu14,65ZN,09/23/2025 18:35:00,h,1976.5994103016149,89.971434406845,[1976.5994103016149],[[8094.859009225213]],Cu14_IDM_peakData_combined.csv,
Cu14,56CO,09/23/2025 18:35:00,h,2.3723462717326296,inf,[2.3723462717326296],[[inf]],Cu14_IDM_peakData_combined.csv,
Cu14,58CO,09/23/2025 18:35:00,h,,,[],[],Cu14_IDM_peakData_combined.csv,
